单位配置ID;单位名称;单位描述;单位配置ID;单位名称;单位描述;模型;图标;类型;类别;分类1;分类2;分类3;星级;攻击（技能）;可视范围;人工智能;基础属性（json）;升级属性;强化属性+1;强化属性+2;强化属性+3;强化属性+4;强化属性+5;装备;技能
id;name;desc;id;name;desc;model;icon;type;category;category1;category2;category3;star;attack;rangeVisible;brain;property;upgrade_property;str_property1;str_property2;str_property3;str_property4;str_property5;equip;skill
200001;hero_name_0001;hero_desc_0001;200001;hero_name_0001;hero_desc_0001;Snowgirl;icon_role_0001;1;1;2;3;1;5;300001;30;HeroBrain;{"hp":440,"mp":0, "maxHp":440,"maxMp":100,"damage":38,"defend":29,"magicDamage":76,"magicDefend":54,"critValue":27,"dodgeValue":27,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100001,100002,100003,100004,100005,100006]],[2,[100007,100008,100009,100010,100011,100012]],[3,[100013,100014,100015,100001,100001,100001]],[4,[100001,1000001,1000001,100001,100001,100001]],[5,[100001,1000001,1000001,100001,100001,100001]],[6,[100001,1000001,1000001,100001,100001,100001]],[7,[100001,1000001,1000001,100001,100001,100001]],[8,[100001,1000001,1000001,100001,100001,100001]],[9,[100001,1000001,1000001,100001,100001,100001]],[10,[100001,1000001,1000001,100001,100001,100001]]];[300001,0,0,0,0]
200002;hero_name_0002;hero_desc_0002;200002;hero_name_0002;hero_desc_0002;QingFang;icon_role_0002;1;1;2;3;3;3;300002;30;HeroBrain;{"hp":715,"mp":0, "maxHp":715,"maxMp":100,"damage":34,"defend":36,"magicDamage":26,"magicDefend":20,"critValue":22,"dodgeValue":22,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100121,100122,100123,100124,100125,100126]],[2,[100127,100128,100129,100130,100131,100132]],[3,[100133,100134,100135,100136,100137,100138]],[4,[100139,100140,100141,100142,100143,100144]],[5,[100145,100146,100147,100148,100149,100150]],[6,[100151,100152,100153,100154,100155,100156]],[7,[100157,100158,100159,100160,100161,100162]],[8,[100163,100164,100165,100166,100167,100168]],[9,[100169,100170,100171,100172,100173,100174]],[10,[100175,100176,100177,100178,100179,100180]]];[300002,0,0,0,0]
200003;hero_name_0003;hero_desc_0003;200003;hero_name_0003;hero_desc_0003;Snowgirl;icon_role_0003;1;1;2;1;2;2;300001;30;HeroBrain;{"hp":277,"mp":0, "maxHp":277,"maxMp":100,"damage":24,"defend":18,"magicDamage":46,"magicDefend":33,"critValue":17,"dodgeValue":17,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100061,100062,100063,100064,100065,100066]],[2,[100067,100068,100069,100070,100071,100072]],[3,[100073,100074,100075,100076,100077,100078]],[4,[100079,100080,100081,100082,100083,100084]],[5,[100085,100086,100087,100088,100089,100090]],[6,[100091,100092,100093,100094,100095,100096]],[7,[100097,100098,100099,100100,100101,100102]],[8,[100103,100104,100105,100106,100107,100108]],[9,[100109,100110,100111,100112,100113,100114]],[10,[100115,100116,100117,100118,100119,100120]]];[300001,0,0,0,0]
200004;hero_name_0004;hero_desc_0004;200004;hero_name_0004;hero_desc_0004;Lantern;icon_role_0004;1;1;2;1;1;1;300001;30;HeroBrain;{"hp":223,"mp":0, "maxHp":223,"maxMp":100,"damage":20,"defend":15,"magicDamage":38,"magicDefend":27,"critValue":14,"dodgeValue":14,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100001,100002,100003,100004,100005,100006]],[2,[100007,100008,100009,100010,100011,100012]],[3,[100013,100014,100015,100001,100001,100001]],[4,[100001,1000001,1000001,100001,100001,100001]],[5,[100001,1000001,1000001,100001,100001,100001]],[6,[100001,1000001,1000001,100001,100001,100001]],[7,[100001,1000001,1000001,100001,100001,100001]],[8,[100001,1000001,1000001,100001,100001,100001]],[9,[100001,1000001,1000001,100001,100001,100001]],[10,[100001,1000001,1000001,100001,100001,100001]]];[300001,0,0,0,0]
200005;hero_name_0005;hero_desc_0005;200005;hero_name_0005;hero_desc_0005;IronMouse;icon_role_0005;1;1;2;2;4;1;300002;30;HeroBrain;{"hp":481,"mp":0, "maxHp":481,"maxMp":100,"damage":23,"defend":24,"magicDamage":17,"magicDefend":13,"critValue":15,"dodgeValue":15,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100181,100122,100123,100124,100125,100126]],[2,[100182,100128,100129,100130,100131,100132]],[3,[100183,100134,100135,100136,100137,100138]],[4,[100184,100140,100141,100142,100143,100144]],[5,[100185,100146,100147,100148,100149,100150]],[6,[100186,100152,100153,100154,100155,100156]],[7,[100187,100158,100159,100160,100161,100162]],[8,[100188,100164,100165,100166,100167,100168]],[9,[100189,100170,100171,100172,100173,100174]],[10,[100190,100176,100177,100178,100179,100180]]];[300002,0,0,0,0]
200006;hero_name_0006;hero_desc_0006;200006;hero_name_0006;hero_desc_0006;Snowgirl;icon_role_0006;1;1;2;1;4;2;300002;30;HeroBrain;{"hp":297,"mp":0, "maxHp":297,"maxMp":100,"damage":23,"defend":19,"magicDamage":46,"magicDefend":33,"critValue":16,"dodgeValue":16,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":5};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100181,100122,100123,100124,100125,100126]],[2,[100182,100128,100129,100130,100131,100132]],[3,[100183,100134,100135,100136,100137,100138]],[4,[100184,100140,100141,100142,100143,100144]],[5,[100185,100146,100147,100148,100149,100150]],[6,[100186,100152,100153,100154,100155,100156]],[7,[100187,100158,100159,100160,100161,100162]],[8,[100188,100164,100165,100166,100167,100168]],[9,[100189,100170,100171,100172,100173,100174]],[10,[100190,100176,100177,100178,100179,100180]]];[300002,0,0,0,0]
200007;hero_name_0007;hero_desc_0007;200007;hero_name_0007;hero_desc_0007;Nekomata;icon_role_0007;1;1;2;2;4;2;300002;30;HeroBrain;{"hp":292,"mp":0, "maxHp":292,"maxMp":100,"damage":38,"defend":23,"magicDamage":21,"magicDefend":15,"critValue":32,"dodgeValue":32,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":6};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100181,100122,100123,100124,100125,100126]],[2,[100182,100128,100129,100130,100131,100132]],[3,[100183,100134,100135,100136,100137,100138]],[4,[100184,100140,100141,100142,100143,100144]],[5,[100185,100146,100147,100148,100149,100150]],[6,[100186,100152,100153,100154,100155,100156]],[7,[100187,100158,100159,100160,100161,100162]],[8,[100188,100164,100165,100166,100167,100168]],[9,[100189,100170,100171,100172,100173,100174]],[10,[100190,100176,100177,100178,100179,100180]]];[300002,0,0,0,0]
200008;hero_name_0008;hero_desc_0008;200008;hero_name_0008;hero_desc_0008;Snowgirl;icon_role_0008;1;1;2;1;2;2;300001;30;HeroBrain;{"hp":580,"mp":0, "maxHp":580,"maxMp":100,"damage":26,"defend":29,"magicDamage":20,"magicDefend":15,"critValue":16,"dodgeValue":16,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":7};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100061,100062,100063,100064,100065,100066]],[2,[100067,100068,100069,100070,100071,100072]],[3,[100073,100074,100075,100076,100077,100078]],[4,[100079,100080,100081,100082,100083,100084]],[5,[100085,100086,100087,100088,100089,100090]],[6,[100091,100092,100093,100094,100095,100096]],[7,[100097,100098,100099,100100,100101,100102]],[8,[100103,100104,100105,100106,100107,100108]],[9,[100109,100110,100111,100112,100113,100114]],[10,[100115,100116,100117,100118,100119,100120]]];[300001,0,0,0,0]
200009;hero_name_0009;hero_desc_0009;200009;hero_name_0009;hero_desc_0009;Wineswallow;icon_role_0009;1;1;2;3;1;5;300001;30;HeroBrain;{"hp":963,"mp":0, "maxHp":963,"maxMp":100,"damage":43,"defend":48,"magicDamage":37,"magicDefend":28,"critValue":27,"dodgeValue":27,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":8};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100001,100002,100003,100004,100005,100006]],[2,[100007,100008,100009,100010,100011,100012]],[3,[100013,100014,100015,100001,100001,100001]],[4,[100001,1000001,1000001,100001,100001,100001]],[5,[100001,1000001,1000001,100001,100001,100001]],[6,[100001,1000001,1000001,100001,100001,100001]],[7,[100001,1000001,1000001,100001,100001,100001]],[8,[100001,1000001,1000001,100001,100001,100001]],[9,[100001,1000001,1000001,100001,100001,100001]],[10,[100001,1000001,1000001,100001,100001,100001]]];[300001,0,0,0,0]
